0,Passenger Plate Default,Rhode Island,,,AB 123 & 12345 Patterns (1996-2007)     123456 (2007-Present)                          1AB 234 (2020 - Present),,,,,,,
Code Number,Plate Type Description,Plate Images,,,Processing Rules,,,,,,,
,,,,,Current being processed,Add Prefix to plate string?,Add Suffix to plate string?,Omit or Add any characters?,Verify State 2 alpha character abbreviation here,Is there any viewable plate type identifier on plate of any kind?,Is the plate type identified by Vehicle type as viewed in the image?,Is the plate all numeric?
,Ambulance,,,,,,,,,,,
,Antique ,,,,,,,,,,,
,Apportioned plate,,,,,,,,,,,
,Authority / Police,,,,,,,,,,,
,Authority Motorcycle/Police,,,,,,,,,,,
,Bus,,,,,,,,,,,
,Camper,,,,,,,,,,,
,City,,,,,,,,,,,
,City Motorcycle,,,,,,,,,,,
,Collegiate,,,,,,,,,,,
,Commercial,,,,,,,,,,,
,Dealer,,,,,,,,,,,
,Dealer Motorcycle,,,,,,,,,,,
,Disabled Veteran ,,,,,,,,,,,
,Farm,,,,,,,,,,,
,Fire Department,,,,,,,,,,,
,Handicapped,,,,,,,,,,,
,Handicapped Motorcycle,,,,,,,,,,,
,Initial Commercial plate ,,,,,,,,,,,
,Initial Disabled Veteran,,,,,,,,,,,
,Initial Handicapped,,,,,,,,,,,
,Initial Motorcycle,,,,,,,,,,,
,Initial Passenger,,,,,,,,,,,
,Initial Regular Veteran,,,,,,,,,,,
,Initial Veteran Motorcycle,,,,,,,,,,,
,Livery,,,,,,,,,,,
,Manufacturer,,,,,,,,,,,
,Motorcycle,,,,,,,,,,,
,National Guard ,,,,,,,,,,,
,New& Used Dealer,,,,,,,,,,,
,Passenger ,,,,,,,,,Y- Grey & White Ocean Wave Graphic,,
,Purple heart,,,,,,,,,,,
,Regular Veteran Plate,,,,,,,,,,,
,School Bus,,,,,,,,,,,
,Semi Trailer,,,,,,,,,,,
,Sheriff,,,,,,,,,,,
,State,,,,,,,,,,,
,State motorcycle,,,,,,,,,,,
,Taxi,,,,,,,,,,,
,Temporary,,,,,,,,,,,
,Trailer,,,,,,,,,,,
,Truck,,,,,,,,,,,
,Truck Heavy,,,,,,,,,,,
,Veteran Motorcycle,,,,,,,,,,,
,Wild Rivers,,,,,,,,,,,
,,,,,,,,,,,,
